# tectonic plates pixelation
# data save on: 2023-03-17T08:47:36-03:00
equator	plate	pixel	name	begin	end
180	101	8	ALPHA RIDGE, ARCTIC OCEAN, 2500M NEW	124000000	0
180	101	9	ALPHA RIDGE, ARCTIC OCEAN, 2500M NEW	124000000	0
180	101	10	ALPHA RIDGE, ARCTIC OCEAN, 2500M NEW	124000000	0
180	101	11	ALPHA RIDGE, ARCTIC OCEAN, 2500M NEW	124000000	0
180	101	20	ALPHA RIDGE, ARCTIC OCEAN, 2500M	121000000	0
180	101	21	ALPHA RIDGE, ARCTIC OCEAN, 2500M	121000000	0
180	101	22	ALPHA RIDGE, ARCTIC OCEAN, 2500M NEW	124000000	0
180	101	23	ALPHA RIDGE, ARCTIC OCEAN, 2500M NEW	124000000	0
180	101	24	ALPHA RIDGE, ARCTIC OCEAN, 2500M NEW	124000000	0
180	101	25	ALPHA RIDGE, ARCTIC OCEAN, 2500M NEW	124000000	0
180	101	45	ALPHA RIDGE, ARCTIC OCEAN, 2500M NEW	124000000	0
180	101	138	North America Craton	600000000	0
180	101	139	North America Craton	600000000	0
180	101	183	North America Craton	600000000	0
180	101	184	North America Craton	600000000	0
180	101	185	North America Craton	600000000	0
180	101	186	North America Craton	600000000	0
180	101	187	North America Craton	600000000	0
180	101	188	North America Craton	600000000	0
180	101	189	North America Craton	600000000	0
180	101	233	North America Craton	600000000	0
180	101	234	North America Craton	600000000	0
180	101	235	North America Craton	600000000	0
180	101	236	NATKUSIAK FORMATION, VICTORIA ISLAND, CANADA	650000000	0
180	101	237	North America Craton	600000000	0
180	101	238	North America Craton	600000000	0
180	101	239	North America Craton	600000000	0
180	101	289	North America Craton	600000000	0
180	101	290	North America Craton	600000000	0
180	101	291	North America Craton	600000000	0
180	101	292	North America Craton	600000000	0
180	101	293	NATKUSIAK FORMATION, VICTORIA ISLAND, CANADA	650000000	0
180	101	294	North America Craton	600000000	0
180	101	295	North America Craton	600000000	0
180	101	296	North America Craton	600000000	0
180	101	297	North America Craton	600000000	0
180	101	298	North America Craton	600000000	0
180	101	299	North America Craton	600000000	0
180	101	351	North America Craton	600000000	0
180	101	352	North America Craton	600000000	0
180	101	353	North America Craton	600000000	0
180	101	354	North America Craton	600000000	0
180	101	355	North America Craton	600000000	0
180	101	356	North America Craton	600000000	0
180	101	357	North America Craton	600000000	0
180	101	358	North America Craton	600000000	0
180	101	359	North America Craton	600000000	0
180	101	360	North America Craton	600000000	0
180	101	361	North America Craton	600000000	0
180	101	362	North America Craton	600000000	0
180	101	420	North America Craton	600000000	0
180	101	421	North America Craton	600000000	0
180	101	422	North America Craton	600000000	0
180	101	423	North America Craton	600000000	0
180	101	424	North America Craton	600000000	0
180	101	425	North America Craton	600000000	0
180	101	426	North America Craton	600000000	0
180	101	427	North America Craton	600000000	0
180	101	428	North America Craton	600000000	0
180	101	429	North America Craton	600000000	0
180	101	430	North America Craton	600000000	0
180	101	431	North America Craton	600000000	0
180	101	494	North America Craton	600000000	0
180	101	495	North America Craton	600000000	0
180	101	496	North America Craton	600000000	0
180	101	497	North America Craton	600000000	0
180	101	498	North America Craton	600000000	0
180	101	499	North America Craton	600000000	0
180	101	500	North America Craton	600000000	0
180	101	501	North America Craton	600000000	0
180	101	502	North America Craton	600000000	0
180	101	503	North America Craton	600000000	0
180	101	504	North America Craton	600000000	0
180	101	505	North America Craton	600000000	0
180	101	506	North America Craton	600000000	0
180	101	507	North America Craton	600000000	0
180	101	576	North America Craton	600000000	0
180	101	577	North America Craton	600000000	0
180	101	578	North America Craton	600000000	0
180	101	579	North America Craton	600000000	0
180	101	580	North America Craton	600000000	0
180	101	581	North America Craton	600000000	0
180	101	582	North America Craton	600000000	0
180	101	583	North America Craton	600000000	0
180	101	584	North America Craton	600000000	0
180	101	585	North America Craton	600000000	0
180	101	586	North America Craton	600000000	0
180	101	587	North America Craton	600000000	0
180	101	588	North America Craton	600000000	0
180	101	589	North America Craton	600000000	0
180	101	661	North America Craton	600000000	0
180	101	662	North America Craton	600000000	0
180	101	663	North America Craton	600000000	0
180	101	664	North America Craton	600000000	0
180	101	665	North America Craton	600000000	0
180	101	666	North America Craton	600000000	0
180	101	667	North America Craton	600000000	0
180	101	668	North America Craton	600000000	0
180	101	669	North America Craton	600000000	0
180	101	670	North America Craton	600000000	0
180	101	671	North America Craton	600000000	0
180	101	672	North America Craton	600000000	0
180	101	673	North America Craton	600000000	0
180	101	674	North America Craton	600000000	0
180	101	675	North America Craton	600000000	0
180	101	676	North America Craton	600000000	0
180	101	677	North America Craton	600000000	0
180	101	752	North America Craton	600000000	0
180	101	753	North America Craton	600000000	0
180	101	754	North America Craton	600000000	0
